Gender;E-Paylater User Status;Educational Background;Age;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB;P;SI;H;SC;NE
2;1;2;24;4;2;3;3.25;1;2;4;3.6;2.6
2;1;1;36;1;2;2;3;2;2;4;3.4;3.4
2;1;1;22;1;1;2;3;2;3;4;3.4;3
2;2;1;22;1;1;1;3.75;4;3.5;4.25;3.4;3.6
1;1;1;21;1;2;1;1.25;1;1.33;3.5;3.2;3.8
1;1;1;28;1;2;1;1.25;2;2;3;3.2;4
1;2;3;21;4;6;2;4.25;2;3.5;2.25;4;3.4
1;1;3;21;2;6;1;2;2;1.33;4;2.6;5
1;1;2;21;2;3;1;1.75;1;1;1;2.8;5
1;2;3;24;2;6;2;2.5;2.5;2.67;4;2.8;1
1;1;4;35;2;3;1;3.25;4;4;4;2.2;5
2;1;3;25;4;4;2;1;2;2.33;3.25;3.8;3.6
2;1;2;21;1;1;1;3.75;4;3.67;3.75;4;2.8
2;1;1;27;1;1;3;3.5;3.5;2.67;3.5;3.8;4
2;2;1;27;1;1;1;2.25;3;3;4;3.8;2.4
2;1;4;23;2;5;1;3;2;2;4;3.4;2.2
2;2;3;23;2;4;2;4.5;4;4;4;3.2;4
2;1;1;47;1;2;1;2;2.25;1.17;2.75;4.4;3.2
1;1;4;24;2;6;1;1;1;1;3.75;3.2;4.6
1;1;4;24;2;3;1;2.5;1;1;1;5;1
2;1;4;22;2;5;2;2;2;2;2.75;2.4;3.6
2;1;3;24;1;1;1;2.5;1;1;5;4.2;1.4
2;1;3;23;4;6;1;5;3;2;4;4.4;4.2
2;1;1;24;1;3;1;4;2.75;3;3;3.4;2
2;1;1;27;1;2;1;3.75;1;2.83;4;4;3.2
2;2;3;24;2;6;1;3.75;4;4;4;3.6;4.4
2;1;1;24;1;1;2;3.75;4;4;4;4;4
2;1;1;27;1;1;1;2.25;3.75;3.17;3.75;2.8;2.8
2;1;3;28;3;1;3;3.75;1;1;4;3.6;3.2
2;2;3;25;2;2;2;1.5;3.5;3.17;4;3.6;5
1;1;1;22;2;5;1;2;2.25;2;3;4;1.6
2;1;4;44;2;3;1;2;1;1.33;3.75;3;3.8
2;1;4;25;2;4;1;2.25;1;2;4;3.4;3.4
1;1;2;32;2;3;1;3;2;2.5;3.25;3.8;3.8
2;1;1;41;1;1;1;2;1;2;4;3.2;3
1;1;1;47;1;1;1;3;2.75;2;4;3.4;4.2
2;1;3;28;2;6;5;2.25;2;2;4;3.4;3
2;1;1;22;1;1;1;2.5;3;3.83;4;3;3.8
2;1;1;41;1;1;1;2.25;1;2;4;4;4.8
2;1;1;41;1;1;1;2;1.25;1.17;4;3.4;2.6
1;1;2;21;1;1;1;2.75;2;2;4;3;3
2;1;1;22;1;1;2;3.5;3;3;3;4;3
2;2;1;26;1;2;2;2.25;2.5;3.33;4;3;4.2
2;2;1;25;1;2;3;3.75;4;4;4;4;2.4
2;1;3;43;2;3;1;3.25;4;3.5;4;3.4;3.8
1;1;4;22;2;4;1;3.25;3;2.83;4;3;3.4
2;1;3;23;2;6;1;2;1;1.17;3.5;2.6;4.4
2;1;3;26;3;6;2;1.75;2;1.67;3.5;2.8;1.8
1;1;3;24;2;5;1;1.5;1.5;1.17;3;3.2;3.8
2;1;1;35;1;1;1;3.25;3.5;3.83;4;3.6;3.8
2;1;1;21;1;1;1;3.5;2.75;2;3.5;3.4;4.2
2;2;3;24;2;1;1;3;2;2.67;3.5;3.8;3.2
